,abs.mean,abs.sd,mse,pos.mean,pos.sd,pos.count,neg.mean,neg.sd,neg.count,pos.min,pos.max,neg.min,neg.max,train.size
1,0.487036839413156,0.250146058613362,0.329468314400542,0.522513008648845,0.156495591514186,3519521,0.401099455077259,0.178131093551493,1452910,0,1,0,1,4
2,0.463148401797833,0.250146058613362,0.295752319668186,0.49209411288207,0.146514353872814,3617501,0.385867667095009,0.15203847619822,1354930,0,1,0,1,11
3,0.458209708372022,0.250146058613362,0.288849104571989,0.484379524336643,0.145179352873771,3647167,0.386188394085254,0.147276274288929,1325264,0,1,0,1,18
4,0.455383623143287,0.250146058613362,0.284703626065198,0.480636908937646,0.144512621415217,3667543,0.384406200375706,0.142640940768714,1304888,0,1,0,1,29
5,0.453641850726536,0.250146058613362,0.282534468206799,0.477916633965788,0.14398685605017,3676573,0.384770294033166,0.140496531322782,1295858,0,1,0,1,42
6,0.452547832903061,0.250146058613362,0.280959946207801,0.47640692686496,0.143765406226395,3683255,0.384379610161405,0.13892332574431,1289176,0,1,0,1,60
7,0.451909524934584,0.250146058613362,0.280055058156262,0.475326752784196,0.143721631083018,3687941,0.384676028656464,0.138169830246701,1284490,0,1,0,0.988,83
8,0.451405276216,0.250146058613362,0.279337835880679,0.474369621084129,0.143594563952709,3692901,0.385128189407689,0.137646524173366,1279530,0,1,0,0.9735,113
9,0.451210297530524,0.250146058613362,0.279124669668136,0.473976456965149,0.143491147858895,3695470,0.385325215483973,0.137120429778459,1276961,0,1,0,0.9737,152
10,0.450824735824388,0.250146058613362,0.278665241128816,0.473260176056885,0.143355238266908,3696453,0.385827868915138,0.13704871924765,1275978,0,1,0,0.97,200
