,abs.mean,abs.sd,mse,pos.mean,pos.sd,pos.count,neg.mean,neg.sd,neg.count,pos.min,pos.max,neg.min,neg.max,train.size
1,0.568821535587384,0.270572567936789,0.444331721501243,0.604921634943338,0.241421998924112,2834328,0.311686731565131,0.216099750890575,397927,0,1,0,1,4
2,0.32559332151269,0.237240886038659,0.20712885459628,0.406027740633848,0.16485500353208,1891438,0.212128595342541,0.159043106422582,1340817,0,1,0,1,11
3,0.244537925429151,0.20655486250048,0.131684824386071,0.298631869885302,0.125352265776175,1725146,0.182617287909653,0.13392380158744,1507109,0,1,0,1,18
4,0.194982449764638,0.18355422769483,0.088841235187725,0.226099460892603,0.0997384001757671,1678771,0.161354814575041,0.115509579211968,1553484,0,1,0,1,29
5,0.167856579654142,0.170387367532066,0.0667551476855632,0.185645913551572,0.0878181772878478,1661929,0.149028734487424,0.104039150097573,1570326,0,1,0,1,42
6,0.149014310974846,0.159370655147393,0.0527114748076498,0.157841232114726,0.0789461488711934,1660665,0.139688169098594,0.0951199681272415,1571590,0,1,0,1,60
7,0.136699148035041,0.151263978985356,0.0443354505608809,0.141102049323559,0.0739683064971661,1661015,0.132044953252669,0.0889041685270931,1571240,0,1,0,1,83
8,0.127440871302543,0.144228934531329,0.0387298340085049,0.128831281832407,0.0699525062476971,1669249,0.125955617264193,0.0845103071917825,1563006,0,1,0,0.9611,113
9,0.118966084209631,0.137990293320048,0.0338606950040575,0.118116856422079,0.0667932935861028,1672625,0.119876988255422,0.0802018133859742,1559630,0,1,0,0.8908,152
10,0.112952773412679,0.132468707675121,0.0310273719661258,0.111720194680717,0.0640224903933192,1673672,0.114276569481738,0.0765659673838839,1558583,0,1,0,0.9146,200
