,abs.mean,abs.sd,mse,pos.mean,pos.sd,pos.count,neg.mean,neg.sd,neg.count,pos.min,pos.max,neg.min,neg.max,train.size
1,0.52174583831866,0.331902622250587,0.412742778224165,0.538827361035926,0.299763949457112,4409354,0.39590328525274,0.250756909971786,598509,0,1,0,1,4
2,0.330938579222315,0.314407977938794,0.200830136110073,0.355890837444873,0.203120202272779,3040690,0.292368911738355,0.193852905663627,1967173,0,1,0,1,11
3,0.271319314908375,0.291284067205955,0.136664877328413,0.276977065310707,0.160562710403157,2816593,0.264046180768976,0.171021424052057,2191270,0,1,0,1,18
4,0.239674948810066,0.274470912309194,0.10325730307798,0.233886471168139,0.133473539640558,2734553,0.246637924069049,0.15531491078207,2273310,0,1,0,1,29
5,0.222856791024912,0.264828596601777,0.0865151614087686,0.210376954408113,0.119649594807069,2698280,0.237437461099547,0.146409674966034,2309583,0,1,0,1,42
6,0.214445673267526,0.257598463805995,0.0789700919313388,0.201013644824121,0.113066593610698,2697254,0.230124379819474,0.140209090937432,2310609,0,1,0,1,60
7,0.207781011264776,0.251766733838309,0.073267055857159,0.193782463708988,0.108446414518012,2691565,0.224047034612618,0.135901084660478,2316298,0,1,0,1,83
8,0.201919854320001,0.246458102604648,0.0688470675714372,0.187224293690131,0.105292629863405,2689946,0.218972490839552,0.132838172865619,2317917,0,1,0,1,113
9,0.196924719490912,0.241416893586591,0.0656064572992863,0.182570605410605,0.103013732173108,2690923,0.213597789068569,0.130399467392761,2316940,0,1,0,1,152
10,0.192838519762791,0.237233543219054,0.0631528253597393,0.178626019972329,0.101305090590738,2692400,0.20936358498389,0.128649055293725,2315463,0,1,0,1,200
