"","r","MN","generator","duration","size","perc_minimal","avg_card"
"84",15,20,"Opts 1-2",22194.36,78.07,1,8.06458460649426
"85",15,20,"Opt 1",647717.27,78.07,1,8.06458460649426
"86",15,20,"Opts 1-3",819.84,78.07,1,8.06458460649426
"87",25,20,"Opts 1-2",20138.31,442.22,1,6.59098066376711
"88",25,20,"Opt 1",451119.6,442.22,1,6.59098066376711
"89",25,20,"Opts 1-3",4618.32,442.22,1,6.59098066376711
"90",35,20,"Opts 1-2",20245.82,739.26,1,5.32138540986358
"91",35,20,"Opt 1",302479.43,739.26,1,5.32138540986358
"92",35,20,"Opts 1-3",10904.1,739.26,1,5.32138540986358
"93",45,20,"Opts 1-2",11701.99,699.94,1,4.50405916042319
"94",45,20,"Opt 1",111041.06,699.94,1,4.50405916042319
"95",45,20,"Opts 1-3",8304.82,699.94,1,4.50405916042319
"96",55,20,"Opts 1-2",6591.17,539.06,1,3.84402629682705
"97",55,20,"Opt 1",37025.57,539.06,1,3.84402629682705
"98",55,20,"Opts 1-3",5265.67,539.06,1,3.84402629682705
"99",65,20,"Opts 1-2",3187.91,376.33,1,3.23108555835583
"100",65,20,"Opt 1",10267.2,376.33,1,3.23108555835583
"101",65,20,"Opts 1-3",2903.07,376.33,1,3.23108555835583
"102",75,20,"Opts 1-2",1603.25,252.52,1,2.82697725273967
"103",75,20,"Opt 1",3201.37,252.52,1,2.82697725273967
"104",75,20,"Opts 1-3",1564.9,252.52,1,2.82697725273967
"105",85,20,"Opts 1-2",594.33,138.2,1,2.20519726102293
"106",85,20,"Opt 1",732.01,138.2,1,2.20519726102293
"107",85,20,"Opts 1-3",608.58,138.2,1,2.20519726102293
"108",95,20,"Opts 1-2",232.06,75.87,1,1.89288973465197
"109",95,20,"Opt 1",246.63,75.87,1,1.89288973465197
"110",95,20,"Opts 1-3",253.86,75.87,1,1.89288973465197
"111",5,25,"Opts 1-2",241554.7,9.61,1,12.99711002886
"112",5,25,"Opt 1",25718475.01,9.61,1,12.99711002886
"113",5,25,"Opts 1-3",324.13,9.61,1,12.99711002886
"114",15,25,"Opts 1-2",243749.91,612.61,1,9.40879850556538
"115",15,25,"Opt 1",19070652.32,612.61,1,9.40879850556538
"116",15,25,"Opts 1-3",8796.79,612.61,1,9.40879850556538
"117",25,25,"Opts 1-2",158799.37,3155.62,1,7.28686361636204
"118",25,25,"Opt 1",9267907.57,3155.62,1,7.28686361636204
"119",25,25,"Opts 1-3",52742.34,3155.62,1,7.28686361636204
"120",35,25,"Opts 1-2",88038.78,3747.07,1,5.93604485533369
"121",35,25,"Opt 1",3130073.76,3747.07,1,5.93604485533369
"122",35,25,"Opts 1-3",56688.92,3747.07,1,5.93604485533369
"123",45,25,"Opts 1-2",48685.9,2972.26,1,4.88972822113901
"124",45,25,"Opt 1",711876.37,2972.26,1,4.88972822113901
"125",45,25,"Opts 1-3",40256.46,2972.26,1,4.88972822113901
"126",55,25,"Opts 1-2",32092.01,1900.46,1,4.12470585221567
"127",55,25,"Opt 1",239314.65,1900.46,1,4.12470585221567
"128",55,25,"Opts 1-3",28526.29,1900.46,1,4.12470585221567
"129",65,25,"Opts 1-2",14075.43,1076.99,1,3.49077633723476
"130",65,25,"Opt 1",59612.22,1076.99,1,3.49077633723476
"131",65,25,"Opts 1-3",12940.52,1076.99,1,3.49077633723476
"132",75,25,"Opts 1-2",5162.2,627.78,1,2.97039868826119
"133",75,25,"Opt 1",12198.59,627.78,1,2.97039868826119
"134",75,25,"Opts 1-3",5148.18,627.78,1,2.97039868826119
"135",85,25,"Opts 1-2",1668.64,273.54,1,2.40503468823427
"136",85,25,"Opt 1",2139.36,273.54,1,2.40503468823427
"137",85,25,"Opts 1-3",1643.17,273.54,1,2.40503468823427
"138",95,25,"Opts 1-2",437.98,147.39,1,1.94908595097267
"139",95,25,"Opt 1",461.67,147.39,1,1.94908595097267
"140",95,25,"Opts 1-3",470.64,147.39,1,1.94908595097267
"141",5,30,"Opts 1-2",3350754.38,34.98,1,14.7882706663723
"142",5,30,"Opt 1",874796820.28,34.98,1,14.7882706663723
"143",5,30,"Opts 1-3",803.54,34.98,1,14.7882706663723
"144",15,30,"Opts 1-2",2571134.99,4952.67,1,10.4762966228408
"145",15,30,"Opt 1",604913376.08,4952.67,1,10.4762966228408
"146",15,30,"Opts 1-3",141407.54,4952.67,1,10.4762966228408
"147",25,30,"Opts 1-2",1288076.58,19592.78,1,7.9338626173897
"148",25,30,"Opt 1",221073937.42,19592.78,1,7.9338626173897
"149",25,30,"Opts 1-3",667394.82,19592.78,1,7.9338626173897
"150",35,30,"Opts 1-2",696350.16,18030.21,1,6.36376536302776
"151",35,30,"Opt 1",47586387.99,18030.21,1,6.36376536302776
"152",35,30,"Opts 1-3",572082.42,18030.21,1,6.36376536302776
"153",45,30,"Opts 1-2",291297.42,10864.41,1,5.23872707895815
"154",45,30,"Opt 1",7619679,10864.41,1,5.23872707895815
"155",45,30,"Opts 1-3",259995.32,10864.41,1,5.23872707895815
"156",55,30,"Opts 1-2",108997.09,5573.06,1,4.36504120875425
"157",55,30,"Opt 1",1217638.14,5573.06,1,4.36504120875425
"158",55,30,"Opts 1-3",96677.61,5573.06,1,4.36504120875425
"159",65,30,"Opts 1-2",47309.7,2787.35,1,3.72159803023036
"160",65,30,"Opt 1",278810.53,2787.35,1,3.72159803023036
"161",65,30,"Opts 1-3",43758.81,2787.35,1,3.72159803023036
"162",75,30,"Opts 1-2",15366.53,1323.79,1,3.05517652883063
"163",75,30,"Opt 1",41081.97,1323.79,1,3.05517652883063
"164",75,30,"Opts 1-3",15166.24,1323.79,1,3.05517652883063
"165",85,30,"Opts 1-2",4048.92,504.43,1,2.56091530599734
"166",85,30,"Opt 1",5523.31,504.43,1,2.56091530599734
"167",85,30,"Opts 1-3",3935.95,504.43,1,2.56091530599734
"168",95,30,"Opts 1-2",840.26,246.62,1,1.97735102084699
"169",95,30,"Opt 1",881.39,246.62,1,1.97735102084699
"170",95,30,"Opts 1-3",882.13,246.62,1,1.97735102084699
"171",5,35,"Opts 1-2",40337673.26,98.03,1,16.62052682425
"172",5,35,"Opts 1-3",2673.47,98.03,1,16.62052682425
