"","name","par_strategy","nproc","generator","r","id","avg_card","date","duration","iteration","perc_minimal","size","size_minimal","mhspersec","totaltime"
"36","mhs","Random",4,"mhs_random_4",75,2232672818.75,3.2888666343,3295.2,0.04575559,50.5,1,4828.56,4828.56,26382.3502221259,0.18302236
"37","mhs","Random",5,"mhs_random_5",75,2051280401.35,3.2888666343,3295.34,0.04436813,50.5,1,4828.56,4828.56,21765.8936718766,0.22184065
"38","mhs","Random",6,"mhs_random_6",75,2126981537.2,3.2888666343,3295.45,0.04246135,50.5,1,4828.56,4828.56,18952.7652794836,0.2547681
"39","mhs","Random",7,"mhs_random_7",75,2128886893.85,3.2888666343,3295.57,0.0418559,50.5,1,4828.56,4828.56,16480.2163067641,0.2929913
"40","mhs","Random",8,"mhs_random_8",75,2314712859.28,3.2888666343,3295.68,0.04142958,50.5,1,4828.56,4828.56,14568.576365003,0.33143664
"41","mhs","Stride",1,"mhs_stride_1",75,2071347429.22,3.2888666343,3295.86,0.14103672,50.5,1,4828.56,4828.56,34236.1904048818,0.14103672
"42","mhs","Stride",2,"mhs_stride_2",75,2127409349.22,3.2888666343,3296.01,0.07675954,50.5,1,4828.56,4828.56,31452.5074016858,0.15351908
"43","mhs","Stride",3,"mhs_stride_3",75,2015409265.61,3.2888666343,3296.08,0.05611681,50.5,1,4828.56,4828.56,28681.6018230545,0.16835043
"44","mhs","Stride",4,"mhs_stride_4",75,2180663070.58,3.2888666343,3296.22,0.04777914,50.5,1,4828.56,4828.56,25265.0005839368,0.19111656
"45","mhs","Stride",5,"mhs_stride_5",75,2129167496.34,3.2888666343,3296.32,0.04496252,50.5,1,4828.56,4828.56,21478.1555838062,0.2248126
"46","mhs","Stride",6,"mhs_stride_6",75,2112590982.28,3.2888666343,3296.39,0.04328844,50.5,1,4828.56,4828.56,18590.6445231106,0.25973064
"47","mhs","Stride",7,"mhs_stride_7",75,2132982453.35,3.2888666343,3296.51,0.04459372,50.5,1,4828.56,4828.56,15468.4176541963,0.31215604
"48","mhs","Stride",8,"mhs_stride_8",75,2059013486.34,3.2888666343,3296.62,0.04335011,50.5,1,4828.56,4828.56,13923.148061216,0.34680088
