"","id","avg_card","date","duration","generator","iteration","perc_minimal","size","r","size_minimal"
"124",345647806,9.2235775," 2014-Jun-04 03:48:50",55.633075,"mhs_stride_7",23,1,682286,25,682286
"125",347186378,9.15190506," 2014-Jun-04 12:01:47",42.871647,"mhs_stride_4",45,1,451474,25,451474
"126",348960248,8.93907642," 2014-Jun-03 21:12:03",120.961379,"mhs_random_1",3,1,499020,25,499020
"127",352042971,9.12977886," 2014-Jun-04 08:38:52",49.574823,"mhs_random_6",37,1,824072,25,824072
"128",352225780,9.11711407," 2014-Jun-04 14:59:12",41.083929,"mhs_random_4",56,1,660263,25,660263
"129",354194940,8.72876167," 2014-Jun-05 00:15:50",91.602859,"mhs_stride_2",80,1,587974,25,587974
"130",354227903,8.74178219," 2014-Jun-05 03:03:42",112.07584,"mhs_random_4",89,1,799404,25,799404
"131",354264820,8.6921711," 2014-Jun-04 05:20:28",43.703004,"mhs_stride_4",28,1,685972,25,685972
"132",356465965,8.72023678," 2014-Jun-04 15:18:01",73.767038,"mhs_random_2",57,1,479866,25,479866
"133",359396308,8.88657284," 2014-Jun-05 01:58:20",176.574679,"mhs_random_1",86,1,484330,25,484330
"134",359735372,8.83272457," 2014-Jun-04 01:43:13",19.645693,"mhs_random_6",18,1,461718,25,461718
"135",360906474,9.12366676," 2014-Jun-04 10:21:07",205.894049,"mhs_stride_2",42,1,712309,25,712309
"136",361960174,8.97651958," 2014-Jun-04 17:08:36",85.65128,"mhs_stride_4",63,1,678059,25,678059
"137",363158384,8.95815086," 2014-Jun-05 06:27:45",35.271112,"mhs_random_4",100,1,581301,25,581301
"138",363418741,9.11783886," 2014-Jun-03 23:31:59",29.275124,"mhs_random_4",10,1,461699,25,461699
"139",368453303,9.65465832," 2014-Jun-05 06:02:19",46.70305,"mhs_stride_5",98,1,583572,25,583572
"140",368868702,8.88657284," 2014-Jun-05 02:03:34",26.053414,"mhs_random_7",86,1,484330,25,484330
"141",369922916,8.83272457," 2014-Jun-04 01:42:15",32.076884,"mhs_random_4",18,1,461718,25,461718
"142",372251243,8.98309326," 2014-Jun-05 05:35:10",60.268109,"mhs_random_2",97,1,479344,25,479344
"143",372544517,9.65465832," 2014-Jun-05 05:51:52",39.583365,"mhs_random_4",98,1,583572,25,583572
"144",373345299,9.2562151," 2014-Jun-04 15:42:01",71.134892,"mhs_random_2",59,1,408996,25,408996
"145",373399820,9.2562151," 2014-Jun-04 15:53:46",31.230932,"mhs_stride_7",59,1,408996,25,408996
"146",375097709,9.06096363," 2014-Jun-04 18:38:43",69.444764,"mhs_random_2",67,1,632622,25,632622
"147",375550862,9.57004929," 2014-Jun-04 05:27:57",13.623238,"mhs_random_7",29,1,376815,25,376815
"148",376361290,9.03636074," 2014-Jun-04 05:45:55",127.351541,"mhs_random_3",30,1,693887,25,693887
"149",383020472,8.54617405," 2014-Jun-04 07:59:34",57.955386,"mhs_stride_5",34,1,742377,25,742377
"150",384053530,8.86029053," 2014-Jun-04 07:11:05",68.016831,"mhs_random_6",33,1,646814,25,646814
"151",389975144,8.62062073," 2014-Jun-04 16:33:15",25.487008,"mhs_random_7",62,1,514881,25,514881
"152",394395089,8.53958035," 2014-Jun-04 10:34:32",42.524153,"mhs_random_2",43,1,385268,25,385268
"153",398695385,8.95815086," 2014-Jun-05 06:38:52",31.940931,"mhs_stride_8",100,1,581301,25,581301
"154",399170857,9.06096363," 2014-Jun-04 18:40:31",40.509091,"mhs_random_4",67,1,632622,25,632622
"155",399482961,9.12482071," 2014-Jun-04 02:31:55",75.311496,"mhs_stride_8",19,1,778756,25,778756
"156",399496254,8.86029053," 2014-Jun-04 07:23:57",204.066086,"mhs_stride_2",33,1,646814,25,646814
"157",400297405,8.72876167," 2014-Jun-05 00:09:46",28.223514,"mhs_random_6",80,1,587974,25,587974
"158",402945820,9.05385685," 2014-Jun-04 08:56:55",14.555595,"mhs_random_3",38,1,219638,25,219638
"159",404165508,8.74178219," 2014-Jun-05 02:54:51",541.804045,"mhs_random_1",89,1,799404,25,799404
"160",407095122,8.85536957," 2014-Jun-05 04:29:21",30.226931,"mhs_stride_6",93,1,499051,25,499051
"161",410677678,9.4477911," 2014-Jun-04 15:38:10",16.732112,"mhs_stride_8",58,1,378621,25,378621
"162",411798222,9.25405312," 2014-Jun-04 19:41:29",193.104005,"mhs_stride_1",69,1,550644,25,550644
"163",413333821,9.10426617," 2014-Jun-04 20:10:29",55.113366,"mhs_stride_5",70,1,559989,25,559989
"164",414919944,8.95815086," 2014-Jun-05 06:30:07",21.450634,"mhs_random_8",100,1,581301,25,581301
"165",417592976,9.11466789," 2014-Jun-05 04:13:45",25.270306,"mhs_stride_7",92,1,538519,25,538519
"166",419653977,8.89754868," 2014-Jun-05 05:18:24",135.038977,"mhs_random_1",96,1,555444,25,555444
"167",420964773,9.35296822," 2014-Jun-03 20:33:48",28.239672,"mhs_random_8",1,1,625172,25,625172
"168",422318497,8.48554707," 2014-Jun-04 01:34:55",48.236187,"mhs_stride_5",17,1,509815,25,509815
"169",425243099,9.16188335," 2014-Jun-04 22:44:21",133.712772,"mhs_stride_4",75,1,890541,25,890541
"170",425478601,8.79619884," 2014-Jun-04 06:38:04",39.811424,"mhs_random_6",32,1,762661,25,762661
"171",430606756,9.2562151," 2014-Jun-04 15:40:43",145.839586,"mhs_random_1",59,1,408996,25,408996
"172",431454287,9.12482071," 2014-Jun-04 02:23:18",134.098895,"mhs_stride_3",19,1,778756,25,778756
"173",436385068,9.04508018," 2014-Jun-05 01:51:38",64.518984,"mhs_stride_5",85,1,731614,25,731614
"174",438225230,8.74178219," 2014-Jun-05 03:26:29",137.978534,"mhs_stride_4",89,1,799404,25,799404
"175",439876325,9.10426617," 2014-Jun-04 19:59:42",36.582327,"mhs_random_6",70,1,559989,25,559989
"176",441778239,8.88657284," 2014-Jun-05 02:12:01",47.436509,"mhs_stride_5",86,1,484330,25,484330
"177",442323993,8.84442806," 2014-Jun-05 01:10:23",7.501496,"mhs_stride_6",83,1,141690,25,141690
"178",448393077,9.11033344," 2014-Jun-04 13:02:42",37.265848,"mhs_stride_5",49,1,585895,25,585895
"179",449337643,8.61337471," 2014-Jun-05 01:13:22",157.524766,"mhs_random_1",84,1,590083,25,590083
"180",452341986,9.57004929," 2014-Jun-04 05:31:25",36.0309,"mhs_stride_3",29,1,376815,25,376815
"181",453336506,8.89754868," 2014-Jun-05 05:26:00",135.896716,"mhs_stride_1",96,1,555444,25,555444
"182",455775538,9.17611694," 2014-Jun-04 21:19:23",61.767893,"mhs_stride_3",72,1,594010,25,594010
