"","avg_card","date","duration","generator","iteration","perc_minimal","size","r"
"62",44.8772368346305,"2014-May-25 22:17:43",30021993,"Opts 1-2",10,0.977432823950463,70412,5
"63",43.3717271775179,"2014-May-25 22:19:25",30005698,"Opts 1-2",12,0.993170710420667,45832,5
"64",41,"2014-May-25 22:21:17",30007649,"Heuristic",14,1,38,5
"65",41,"2014-May-25 22:21:27",30001084,"Opt 1",14,1,38,5
"66",589.038461538462,"2014-May-25 22:21:28",30001109,"Baseline",14,0,52,5
"67",43.6026395427034,"2014-May-25 22:20:02",30007089,"Opts 1-3",13,0.98421738399462,47584,5
"68",42.9387755102041,"2014-May-25 22:21:47",30000953,"Heuristic",15,1,49,5
"69",42.9387755102041,"2014-May-25 22:21:58",30002362,"Opt 1",15,1,49,5
"70",525.755555555556,"2014-May-25 22:21:59",30000883,"Baseline",15,0,45,5
"71",43.6030816382224,"2014-May-25 22:20:43",30006554,"Opts 1-2",13,0.984234943426328,47637,5
"72",43,"2014-May-25 22:22:29",30001513,"Heuristic",16,1,46,5
"73",43,"2014-May-25 22:22:39",30001691,"Opt 1",16,1,46,5
"74",622.756097560976,"2014-May-25 22:22:59",30000650,"Baseline",16,0,41,5
"75",42.1499672949991,"2014-May-25 22:21:01",30008489,"Opts 1-3",14,0.996134863530951,67268,5
"76",42,"2014-May-25 22:23:29",30000623,"Heuristic",17,1,39,5
"77",42.1480168072235,"2014-May-25 22:21:18",30004055,"Opts 1-2",14,0.996140894597252,67114,5
"78",42,"2014-May-25 22:23:59",30000757,"Opt 1",17,1,39,5
"79",526.555555555556,"2014-May-25 22:24:13",30003725,"Baseline",17,0,36,5
"80",43.9661922915169,"2014-May-25 22:21:32",30008168,"Opts 1-3",15,0.96790167003568,73711,5
"81",43,"2014-May-25 22:24:43",30004441,"Heuristic",18,1,51,5
"82",43.9662390093886,"2014-May-25 22:21:57",30004127,"Opts 1-2",15,0.967932478018777,73813,5
"83",43,"2014-May-25 22:25:13",30019520,"Opt 1",18,1,51,5
"84",43.7593852412702,"2014-May-25 22:22:17",30013721,"Opts 1-3",16,0.996937507062945,88490,5
"85",585.75,"2014-May-25 22:25:28",30000674,"Baseline",18,0,44,5
"86",43.7590803141053,"2014-May-25 22:22:29",30012031,"Opts 1-2",16,0.996933626015524,88378,5
"87",43,"2014-May-25 22:25:50",30003645,"Heuristic",19,1,46,5
"88",43,"2014-May-25 22:26:05",30006498,"Opt 1",19,1,46,5
"89",524.820512820513,"2014-May-25 22:26:21",30000773,"Baseline",19,0,39,5
"90",43.7387385629841,"2014-May-25 22:24:29",30005113,"Opts 1-3",18,0.995259369086404,51259,5
"91",43,"2014-May-25 22:26:51",30000749,"Heuristic",20,1,48,5
"92",42.9944670578492,"2014-May-25 22:23:10",30004365,"Opts 1-3",17,0.996008880900777,113502,5
"93",43.7440856105484,"2014-May-25 22:24:59",30001852,"Opts 1-2",18,0.995299063634626,52330,5
"94",43,"2014-May-25 22:27:21",30002026,"Opt 1",20,1,48,5
"95",545.357142857143,"2014-May-25 22:27:37",30003133,"Baseline",20,0,42,5
"96",42.9942240657794,"2014-May-25 22:23:57",30000623,"Opts 1-2",17,0.996238284878641,108727,5
"97",42.9803921568627,"2014-May-25 22:27:51",30000818,"Heuristic",21,1,51,5
"98",42.9803921568627,"2014-May-25 22:28:09",30010823,"Opt 1",21,1,51,5
"99",526.604166666667,"2014-May-25 22:28:21",30001466,"Baseline",21,0,48,5
"100",43.9958605292941,"2014-May-25 22:26:35",30005278,"Opts 1-3",20,0.967969488845134,64501,5
"101",43.9969415565997,"2014-May-25 22:25:44",30007537,"Opts 1-3",19,0.985830034407488,81087,5
"102",43.9969380447934,"2014-May-25 22:25:59",30001710,"Opts 1-2",19,0.985813763982517,80994,5
"103",42.9767441860465,"2014-May-25 22:28:51",30004224,"Heuristic",22,1,43,5
"104",43.9958444226549,"2014-May-25 22:27:06",30000544,"Opts 1-2",20,0.969370126534996,64251,5
"105",43.3134626571233,"2014-May-25 22:27:40",30004777,"Opts 1-3",21,0.998381345001138,39539,5
"106",42.9767441860465,"2014-May-25 22:29:06",30004308,"Opt 1",22,1,43,5
"107",480.541666666667,"2014-May-25 22:29:19",30001278,"Baseline",22,0,48,5
"108",44,"2014-May-25 22:29:35",30001496,"Heuristic",23,0.983050847457627,59,5
"109",44,"2014-May-25 22:29:36",30000911,"Opt 1",23,0.983050847457627,59,5
"110",43.3154881985072,"2014-May-25 22:28:08",30000157,"Opts 1-2",21,0.998386120637482,39656,5
"111",548.057692307692,"2014-May-25 22:29:49",30007878,"Baseline",23,0,52,5
"112",43,"2014-May-25 22:30:06",30000773,"Heuristic",24,1,47,5
"113",43,"2014-May-25 22:30:19",30001647,"Opt 1",24,1,47,5
"114",43.7558259797989,"2014-May-25 22:28:40",30004164,"Opts 1-3",22,0.977510287613054,45443,5
"115",488.771428571429,"2014-May-25 22:30:37",30010056,"Baseline",24,0,35,5
"116",43.7552388935457,"2014-May-25 22:29:04",30003961,"Opts 1-2",22,0.977522389376627,45334,5
"117",44,"2014-May-25 22:30:51",30000711,"Heuristic",25,1,28,5
"118",44.3816680148154,"2014-May-25 22:29:22",30012835,"Opts 1-3",23,0.980267359189408,46978,5
"119",44.3650710382514,"2014-May-25 22:29:36",30000233,"Opts 1-2",23,0.979846994535519,45750,5
"120",44,"2014-May-25 22:31:14",30001617,"Opt 1",25,1,28,5
"121",551.133333333333,"2014-May-25 22:31:21",30001681,"Baseline",25,0,30,5
"122",42,"2014-May-25 22:31:43",30001012,"Heuristic",26,1,37,5
"123",42,"2014-May-25 22:31:52",30003214,"Opt 1",26,1,37,5
"124",43.9903314465203,"2014-May-25 22:30:06",30021488,"Opts 1-3",24,0.964908549553382,61126,5
"125",497.289473684211,"2014-May-25 22:32:13",30062695,"Baseline",26,0,38,5
"126",43.9903398224881,"2014-May-25 22:30:13",30000361,"Opts 1-2",24,0.964938949639582,61179,5
"127",43.9523809523809,"2014-May-25 22:32:38",30000937,"Heuristic",27,1,42,5
"128",43.9523809523809,"2014-May-25 22:32:50",30001724,"Opt 1",27,1,42,5
"129",548.276595744681,"2014-May-25 22:33:08",30004792,"Baseline",27,0,47,5
"130",42,"2014-May-25 22:33:39",30001458,"Heuristic",28,1,51,5
"131",44.9956295787866,"2014-May-25 22:30:49",30006725,"Opts 1-3",25,0.979058398352687,71389,5
"132",44.9956140350877,"2014-May-25 22:31:07",30004063,"Opts 1-2",25,0.979040148448043,71136,5
"133",43.1659709983613,"2014-May-25 22:31:32",30004903,"Opts 1-3",26,0.992254892867081,64686,5
"134",42,"2014-May-25 22:34:09",30008096,"Opt 1",28,1,51,5
"135",43.1817947434673,"2014-May-25 22:31:44",30006624,"Opts 1-2",26,0.992371506134644,65937,5
"136",44.7674005480488,"2014-May-25 22:32:22",30004029,"Opts 1-3",27,0.975564584711329,52915,5
"137",481.192307692308,"2014-May-25 22:34:28",30001272,"Baseline",28,0,52,5
"138",43,"2014-May-25 22:34:39",30001279,"Heuristic",29,1,35,5
"139",44.7775166754036,"2014-May-25 22:32:44",30000211,"Opts 1-2",27,0.974078559678965,55321,5
"140",43,"2014-May-25 22:34:48",30004859,"Opt 1",29,1,35,5
"141",588.34,"2014-May-25 22:34:59",30004061,"Baseline",29,0,50,5
"142",43,"2014-May-25 22:35:16",30028662,"Heuristic",30,1,49,5
"143",43,"2014-May-25 22:35:29",30001659,"Opt 1",30,1,49,5
"144",472.9375,"2014-May-25 22:35:47",30000722,"Baseline",30,0,48,5
"145",42,"2014-May-25 22:36:17",30000622,"Heuristic",31,1,49,5
"146",42.9958251824992,"2014-May-25 22:33:20",30009200,"Opts 1-3",28,0.975368576745074,83836,5
"147",42,"2014-May-25 22:37:01",30003405,"Opt 1",31,1,49,5
"148",43.9966755498129,"2014-May-25 22:34:29",30003666,"Opts 1-3",29,0.982381759939702,74298,5
"149",43.9966736246717,"2014-May-25 22:34:43",30003933,"Opts 1-2",29,0.982371557470877,74255,5
"150",42.9959752998402,"2014-May-25 22:34:09",30000269,"Opts 1-2",28,0.975978289617424,86963,5
"151",43.9936713454197,"2014-May-25 22:35:10",30028782,"Opts 1-3",30,0.986254046129505,68893,5
"152",505.702127659574,"2014-May-25 22:37:31",30000817,"Baseline",31,0,47,5
"153",43.9936930420946,"2014-May-25 22:35:18",30008536,"Opts 1-2",30,0.986272240705916,69130,5
"154",43,"2014-May-25 22:37:50",30001844,"Heuristic",32,1,46,5
"155",43,"2014-May-25 22:37:56",30005077,"Opt 1",32,1,46,5
"156",585.595238095238,"2014-May-25 22:38:02",30000746,"Baseline",32,0,42,5
"157",43,"2014-May-25 22:38:20",30000982,"Heuristic",33,1,35,5
